cid,ԭcid,smiles
998,5458190,CCC1=C[C@H]2C[C@]3([C@@H]1N(C2)CCC4=C3NC5=CC=CC=C45)C(=O)OC
999,44224135,CC(C)(C)C1=NN(C(=C1)C(=O)N[C@@H](CC2=CC(=CC=C2)Cl)C(=O)NCC#N)C
1000,24822275,CC1([C@@H]([C@H](C2=C(O1)C(=O)C3=CC=CC=C3C2=O)NCC4=CC=CC=C4)O)C
1001,1204893,C1=CC(=CC=C1C2=CC=C(O2)/C=C/3\C(=O)NC(=O)S3)F
1002,24951314,CC(C)(C)OC(=O)NC1=CC=C(C=C1)C2=CC(=NO2)C(=O)NCCCCCCC(=O)NO
1003,73051434,CC1=CC2=C(C=CC=C2N1C3=NC4=C(COCC4)C(=N3)NCC5=CC=CC=C5)C(=O)N
1004,71577426,C1=CC=NC(=C1)CC(=O)NC2=NN=C(S2)CCCCC3=NN=C(C=C3)NC(=O)CC4=CC(=CC=C4)OC(F)(F)F
1005,9938280,CN1CCN(CC1)CC2=NC3=C(C=C(C(=C3)Cl)CN(CC#C)C4=CC=C(C=C4)C(=O)NCC5=CN=CC=C5)C(=O)N2C
1006,4009,CC1=C(C(CCC1)(C)C)CCC(=CCCC2=CCC(OC2O)C3=CC(=O)OC3O)C
1007,1744,CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CC(=O)NC2=CC=C(C=C2)O)C)C
1008,3036144,CC(C)(C)C1=CC(=CC(=C1O)C(C)(C)C)C=C(C#N)C(=S)N
1009,5637,C1=CC=C(C(=C1)N)SC(=C(C#N)C(=C(N)SC2=CC=CC=C2N)C#N)N
1010,44519124,CC(C)NCCN1C2=C(C=C(C=C2)C(=O)C)C3=C1C=CC(=C3)C(=O)C
1011,58298318,CCN1C(=O)CNC2=NC=C(N=C21)C3=C(N=C(C=C3)C4=NC=NN4)C
1012,58298316,CC(C)(C1=NC=C(C=C1)C2=CN=C3C(=N2)N(C(=O)CN3)C4CCC(CC4)OC)O
1013,10430360,C1CCN(CC1)CCOC2=CC=CC(=C2)C3=NNC4=C3C=C(C=C4)C5=NC=NN5
1014,24788636,CC1=C(C=C(C=C1)NC(=O)NCC2=CC3=C(C=C2)C(=O)N(C3)C4CCC(=O)NC4=O)Cl
1015,984170,CCC1=CC(=C(C=C1O)O)C2=NNC(=C2C3=CC4=C(C=C3)OCCO4)C
1016,54758482,C[C@H](CN(C)C)OC1=NC(=CN=C1C#N)NC2=NC=C(C(=C2)OC)C3=CN(N=C3)C
1017,17751819,C1CN(CCC1(CC2=CC=C(C=C2)Cl)N)C3=NC=NC4=C3C=CN4
1018,16202152,CN(C)C1=CC=C(C=C1)C2=NC3=NC=C(C(=C3N2)N4CCN(CC4)CC(=O)NC5=NC=CS5)Cl
1019,135564841,CC(C)([C@@H]1CNC[C@H]1NC2=NC(=NC3=CC(=C(C=C32)OC)OC)C4=C(C=CC(=C4)F)O)O
1020,117996749,CC1=C(C=C(C=C1)NC(=O)C2=CC3=C(C=C2)OCCO3)NC(=O)C4=CC5=C(C=C4)N=C(C=C5)OCCN6CCCC6
1021,77050682,CN1C=C(C=N1)C2=CC=C(C=C2)C3=CN=CC(=C3N4CCC5(CCNC5=O)CC4)Cl
1022,11271909,CC1=C(C2=C(N1C(C3=CC=CC=C3)C4=CC=CC=C4)C=CC(=C2)Cl)CCOC5=CC=C(C=C5)C(=O)O
1023,135473382,CC(C)C1=NN(C2=C1C(=O)NC(=N2)CC3=CC=C(C=C3)OCCO)C4=C(C=CC=C4Cl)Cl
1024,24825971,CCNC1=CC(=NC(=N1)NC2=CC3=C(C=C2)N(C=C3)CC4=CC=CC=C4)NC5CCC(CC5)O
1025,66577006,CC1=C(C=C(C=C1)NC2=NC=NC(=C2)C3=CC(=CC=C3)N4C(=O)C5=CC=CC=C5C4=O)NS(=O)(=O)C
1026,11848225,CN(C)C1(CCC2(CC1)C3=C(CCO2)C4=C(N3)C=CC(=C4)F)C5=CC=CC=C5
1027,9933475,CC1=CC2=C(N1)C=CC(=C2F)OC3=NC=NC4=CC(=C(C=C43)OC)OCCCN5CCCC5
1028,51039,C1C(=C(N2[C@H](S1)[C@@H](C2=O)NC(=O)[C@@H](C3=CC=CC=C3)N)C(=O)O)Cl
1029,6915944,C=CC1=C(N2[C@@H]([C@@H](C2=O)NC(=O)/C(=N\O)/C3=CSC(=N3)N)SC1)C(=O)O
1030,6437877,CC1=C(SC=N1)/C=C\C2=C(N3[C@@H]([C@@H](C3=O)NC(=O)/C(=N\OC)/C4=CSC(=N4)N)SC2)C(=O)OCOC(=O)C(C)(C)C
1031,9570757,CN1C(=NN=N1)SCC2=C(N3[C@@H]([C@@H](C3=O)NC(=O)/C(=N\OC)/C4=CSC(=N4)N)SC2)C(=O)O
1032,44187,CCN1CCN(C(=O)C1=O)C(=O)N[C@H](C2=CC=C(C=C2)O)C(=O)N[C@H]3[C@@H]4N(C3=O)C(=C(CS4)CSC5=NN=NN5C)C(=O)O
1033,23663974,CCN1CCN(C(=O)C1=O)C(=O)N[C@H](C2=CC=C(C=C2)O)C(=O)N[C@H]3[C@@H]4N(C3=O)C(=C(CS4)CSC5=NN=NN5C)C(=O)[O-].[Na+]
1034,24846633,CO/N=C(\C1=CSC(=N1)N)/C(=O)N[C@H]2[C@@H]3N(C2=O)C(=C(CS3)CN4C=CC(=N)N4CCO)C(=O)O.OS(=O)(=O)O
1035,6436628,C/C=C/C1=C(N2[C@@H]([C@@H](C2=O)NC(=O)[C@@H](C3=CC=C(C=C3)O)N)SC1)C(=O)O.O
1036,6328657,CO/N=C(/C1=CSC(=N1)N)\C(=O)N[C@H]2[C@@H]3N(C2=O)C(=C(CS3)CSC(=O)C4=CC=CO4)C(=O)O
1037,9937686,CO/N=C(/C1=CSC(=N1)N)\C(=O)N[C@H]2[C@@H]3N(C2=O)C(=C(CS3)CSC(=O)C4=CC=CO4)C(=O)O.Cl
1038,122724,CC1=C(C(=O)C=C2C1=CC=C3[C@]2(CC[C@@]4([C@@]3(CC[C@@]5([C@H]4C[C@](CC5)(C)C(=O)O)C)C)C)C)O
1039,2662,CC1=CC=C(C=C1)C2=CC(=NN2C3=CC=C(C=C3)S(=O)(=O)N)C(F)(F)F
1040,22570509,CC1=NN=C(N1C2CC3CCC(C2)N3CCC(C4=CC=CC=C4)NC(=O)C5CCC(CC5)(F)F)C(C)C
1041,56846693,CC(C)(C1=CC(=NO1)NC(=O)NC2=CC(=CC=C2)OC3=NC=NC4=CC(=C(C=C43)OC)OC)C(F)(F)F
1042,57336812,CN1CCN(CC1)C2=CC=CC(=C2)NC3=NN4C=CC=C(C4=N3)C5=CC=C(C=C5)S(=O)(=O)C
1043,71576419,CC(C)N1C=C(C(=O)N(C1=O)C2=CC=C(C=C2)F)C(=O)NC3=CC(=C(C=C3)OC4=C5C=C(C(=CC5=NC=C4)OC)OC)F
1044,91827701,COC1=C(C=CC2=C1CCC(CC2)N3CCOCC3)NC4=NC=C(C(=N4)N[C@@H]5[C@H]6C[C@H]([C@H]5C(=O)N)C=C6)Cl
1045,27447,CC1=C(N2[C@@H]([C@@H](C2=O)NC(=O)[C@@H](C3=CC=CC=C3)N)SC1)C(=O)O
1046,6436208,C/C=C(\C)/C(=O)N[C@@H](C1=CC=CC=C1)[C@H](C(=O)O[C@H]2C[C@]3([C@H]([C@H]4[C@@]([C@H](C[C@@H]5[C@]4(CO5)OC(=O)C)O)(C(=O)[C@@H](C(=C2C)C3(C)C)OC(=O)C)C)OC(=O)C6=CC=CC=C6)O)O
1047,10206,CN1CCC2=CC3=C(C4=C2[C@@H]1CC5=CC=C(C=C5)OC6=C(C=CC(=C6)C[C@@H]7C8=CC(=C(C=C8CCN7C)OC)O4)OC)OCO3
1048,38103,CC1=C(N2[C@@H]([C@@H](C2=O)NC(=O)[C@@H](C3=CCC=CC3)N)SC1)C(=O)O
1049,44595079,CCS(=O)(=O)N1CCN(CC1)C2=CC=C(C=C2)NC3=NC=C(C(=N3)NC4CC4)C(=O)N
1050,57379345,CC1=CC(=C(C=C1C2CCNCC2)OC(C)C)NC3=NC=C(C(=N3)NC4=CC=CC=C4S(=O)(=O)C(C)C)Cl
1051,446156,CC(C)C1=C(C(=C(C(=N1)C(C)C)COC)C2=CC=C(C=C2)F)/C=C/[C@H](C[C@H](CC(=O)O)O)O
1052,5282054,C/C=C/C/C=C/CCC(=O)[C@@H]1[C@@H](O1)C(=O)N
1053,2678,C1CN(CCN1CCOCC(=O)O)C(C2=CC=CC=C2)C3=CC=C(C=C3)Cl
1054,55182,C1CN(CCN1CCOCC(=O)O)C(C2=CC=CC=C2)C3=CC=C(C=C3)Cl.Cl.Cl
1055,5974,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-]
1056,31239,CCCCCCCCCCCCCCCC[N+]1=CC=CC=C1.[Cl-]
1057,83898,C[C@@H]1O[C@]2(CN3CCC2CC3)CS1
1058,11488110,C[C@@H](C(F)(F)F)NC1=C(C(=NC2=NC=NN12)Cl)C3=C(C=C(C=C3F)OCCCNC)F
1059,58486178,C[C@@H]1CN(C[C@@H](O1)C)CC2=CC=C(C=C2)/C=C/C3=NNC4=C3C=CC(=C4)[C@@H]5C[C@]56C7=C(C=CC(=C7)OC)NC6=O
1060,118086034,CC1=C(C=CC(=C1)C2=C3N=C(C=C(N3N=C2)NCC4CC(C4)(C)O)OC5=CN=CC=C5)C(=O)NC6CC6
1061,504670,C1=CC(=CC(=C1)N2C(=O)C(=CC3=CC=C(C=C3)C(=O)O)SC2=S)C(F)(F)F
1062,24857323,CC1=C(C=CC=C1NC(=O)C2=CC=C(C=C2)C(C)(C)C)C3=CN(C(=O)C(=N3)NC4=CC=C(C=C4)C(=O)N5CCOCC5)C
1063,6605258,C1=CC=C(C=C1)C(C2=CC=CC=C2)C(=O)NC(C(Cl)(Cl)Cl)NC(=S)NC3=CC(=C(C=C3)F)[N+](=O)[O-]
1064,3086599,CCNC(=O)[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C(N=C(N=C32)NCCC4=CC=C(C=C4)CCC(=O)O)N)O)O
1065,10256643,CCNC(=O)[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C(N=C(N=C32)NCCC4=CC=C(C=C4)CCC(=O)O)N)O)O.Cl
1066,49784945,CS(=O)(=O)N1CCC2=C(N=C(N=C21)N3CCOCC3)C4=CN=C(N=C4)N
1067,135415564,C[C@H]1/C=C/C=C(\C(=O)NC2=C(C3=C(C4=C(C(=C3O)C)O[C@@](C4=O)(O/C=C/[C@@H]([C@H]([C@H]([C@@H]([C@@H]([C@@H]([C@H]1O)C)O)C)OC(=O)C)C)OC)C)C5=NC6(CCN(CC6)CC(C)C)N=C25)O)/C
1068,449241,C1=CC2=C(C=CN=C2)C(=C1)S(=O)(=O)NCCNC/C=C/C3=CC=C(C=C3)Br
1069,5289418,CC1=CNC(=C1CCC(=O)O)/C=C\2/C3=CC=CC=C3NC2=O
1070,44828485,CCCCCN(C)CCC(O)(P(=O)(O)O)P(=O)(O)[O-]
1071,12309103,C[C@H]1[C@H]([C@H](C[C@@H](O1)O[C@@H]2C[C@@](CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(C(=O)C)O)N)O
1072,73265211,CN1CCN(CC1)C2=CC(=C(C=C2)NC3=NC(=C(S3)C(=O)C4=C(C=CC=C4Cl)Cl)N)OC
1073,2703,C[N+]1=C2C(=C3C=CC(=C(C3=C1)OC)OC)C=CC4=CC5=C(C=C42)OCO5
1074,72311,C[N+]1=C2C(=C3C=CC(=C(C3=C1)OC)OC)C=CC4=CC5=C(C=C42)OCO5.[Cl-]
1075,16666332,C1C[C@@H](NC1)C2=CC(=C(C=C2)C3=NC4=C(C=CC=C4N3)C(=O)N)F
1076,46933992,CC(C)(CCC1=CC=C(C=C1)OCC2=CC(=C3C(=C2)C=CC=N3)C4=CC(=CC=C4)OC(F)F)O
1077,15949613,CN1C=CC2=C1C(=NC=N2)OC3=CC(=C(C=C3)NC(=O)NC4=CC=CC(=C4)C(F)(F)F)F
1078,44460130,C1=CC=C2C(=C1)C=CC=C2C3=NN=C(O3)SCC#CCOC(=O)C4=CC5=CC=CC=C5S4
1079,52948550,CN(C)C1=CC=C(C=C1)NC2=NN(C(=N2)N)C(=O)C3=C(C=CC=C3F)F
1080,3838,CN(C(CC1=CC=C(C=C1)OS(=O)(=O)C2=CC=CC3=C2C=CN=C3)C(=O)N4CCN(CC4)C5=CC=CC=C5)S(=O)(=O)C6=CC=CC7=C6C=CN=C7
1081,6604593,CCN1CCN(C(=O)C1=O)C(=O)N[C@@H](C2=CC=C(C=C2)O)C(=O)N[C@H]3[C@H]4N(C3=O)C(=C(CS4)CSC5=NN=NN5C)C(=O)O.O.O
1082,16759993,COC1=CC2=C(C=CN=C2C=C1)C([C@H]3CC4CCN3C[C@H]4C=C)O
1083,16757783,CC1(OC2CC3C4CC(C5=CC(=O)C=CC5(C4C(CC3([C@@]2(O1)C(=O)CO)C)O)C)F)C
1084,2331284,CC1=CC(=C(N1C2=CC=CC=C2)C)C3=NN=C4N3CCCCC4
1085,2956,CC(C(=O)NC(C1=CC=CC=C1)C(=O)OC(C)(C)C)NC(=O)CC2=CC(=CC(=C2)F)F
1086,24867488,CCNC(=O)[C@@H]1[C@@H]([C@H]([C@@H](O1)N2C=NC3=C(N=C(N=C32)NCCC4=CC=C(C=C4)CCC(=O)O)N)O)O
1087,498102,C1=CN2[C@H]3[C@H]([C@H]([C@H](O3)CO)O)OC2=NC1=N
1088,3570748,COC1(CCN(CC1)CCC2=CNC3=C2C=C(C=C3)F)CS(=O)C4=CC=CC=C4
1089,42628507,CC(C)N1C=NC2=C(N=C(N=C21)NC3CCC(CC3)N(C)C)NC4=CC(=CC=C4)NC(=O)C=C
1090,46925884,CC(=O)NC1=C(C2=C(S1)CNC2)C3=NC4=CC=CC=C4S3
1091,9954540,C1CCN[C@@H](C1)[C@H](C2=CC=CC=C2)NC(=O)C3=C(C(=CC=C3)C(F)(F)F)Cl
1092,1546,C1C(C(OC1N2C=NC3=C(N=C(N=C32)Cl)N)CO)O
1093,46927888,CC1=C(C(=NN1CC2=CC=CC=C2Cl)C)CN(C)CC(COC3=CC=C(C=C3)Cl)O
1094,53484170,CC1=CN2C(=CN=C2C(=N1)NC3=C(C=C(C=C3)C(=O)N4CCNCC4)F)C5=CNN=C5
1095,57394468,C1COC[C@@H]1N2C3=NC(=NC=C3N=C2NC4=C(C=C(C=C4F)F)F)NC5CCC(CC5)O
1096,21874004,CN1CCN(CC1)C2=CC=C(C=C2)C(=O)NC3=NNC4=C3CN(C4)C(=O)C(C5=CC=CC=C5)OC
1097,46918825,CN1CCC2=C(C1)N(C3=CC=CC=C23)CC4=CC=C(C=C4)C(=O)NO
1098,54677977,CC(=C(C#N)C(=O)NC1=CC=C(C=C1)C(F)(F)F)O
1099,57519516,CC1=CC(=C(N1C2=CC=C(C=C2)F)C)C3=NN=C4N3CCCCC4
1100,57519549,CN(CC1=CC=CC=C1N(CCO)S(=O)(=O)C2=CC=C(C=C2)OC)C(=O)C=CC3=CC=C(C=C3)Cl
1101,57519521,CNC1CCN(CC1)C(CC2=CC(=CC=C2)C3=CC=NC=C3)C(=O)C4=C(C5=C(C=CC(=C5S4)F)F)Cl
1102,56603532,CCCCC1=NC2=C(N1CCN(CC)CC)C=CC(=C2)C=CC(=O)NO
1103,53316142,CC[C@@]12C=CCN3[C@@H]1[C@]4(CC3)[C@H]([C@@]([C@@H]2OC(=O)C)(C(=O)OC)O)N(C5=CC(=C(C=C45)[C@]6(CC7CC(CN(C7)CCC8=C6NC9=CC=CC=C89)(CC)O)C(=O)OC)OC)C=O
1104,57519538,C1C2CC3CC1CC(C2)C3C(=O)NC4=CC5=C(C=C4)N=C(S5)NC(=O)C6=CC=CC=C6
1105,53316137,C1CCC(C1)C2=C(C=CC(=C2)C3=CNC4=C3C=C(C=C4)C5=CC=CC=C5)C(=O)O
1106,54706679,COC1=CC=CC=C1C2=CC(=CC=C2)C3=C(C4=C(C=C(C(=C4)C#N)Cl)NC3=O)O
1107,57519551,C1CCN(C1)CCOC2=C3COCC=CCCOC4=CC=CC(=C4)C5=NC(=NC=C5)NC(=C3)C=C2
1108,53316143,CCC1(CCC(=O)NC1=O)CC2=CC=C(C=C2)N
1109,57519547,C1COCCN1C2=CC(=O)C=C(O2)C3=CC=CC4C3SC5=CC=CC=C5S4
1110,53401057,CC1=NC=C(C=C1)OC2=C(C=C(C=C2)NC3=NC=NC4=C3C=C(C=C4)C=CCNC(=O)COC)C
1111,57519554,CC1=C(SC2=C1N=C(N=C2N3CCOCC3)C4=CN=C(N=C4)N)CN5CCN(CC5)C(=O)C(C)C
1112,57519528,CN(C)C1CCN(CC1)C(=O)C2=CC=C(C=C2)NC(=O)NC3=NC(=NC(=N3)N4CCOCC4)N5CCOCC5
1113,57519512,CC(C)(C)C1=C(N=CN1)C=C2C(=O)NC(=CC3=CC=CC=C3)C(=O)N2
1114,11719130,CN1CCN(CC1)C2=NC3=CC=CC=C3C(=N2)C4C(C(=O)NC4=O)C5=CNC6=CC=CC=C65
1115,57519507,CC1=C(C2=CC=CC=C2N1)CCNCC3=CC=C(C=C3)C=CC(=O)NO
1116,49853312,C1=CC=C2C=C(C=CC2=C1)C3=NN=C(O3)SCC#CCOC(=O)C4=CC5=CC=CC=C5S4
1117,57519550,CC1C(=N)N(C2=CN=C(N=C2N1CCC(C)C)NC3=CC(=C(C(=C3)F)O)F)C
1118,57519513,CCC(CC)C(C)C1(CCCCC1)C(=O)NC2=CC=CC=C2SC(=O)C(C)C
1119,70679466,CC1=C(C=CC(=C1Cl)C(=O)NC2=C(C=CC(=C2)[N+](=O)[O-])N3CCN(CC3)C)F
1120,71300295,C1=CC(=C(C=C1NC(=O)NC2=NN=C(S2)C3=CC=NC=C3)C#N)C4=CNN=C4
1121,73352604,CCC1=CC2=C(C=C1)N=C(S2)NC3=NC(=NC(=C3)CC4=CC=CC=C4)NC5CCC(CC5)O
1122,25169382,C1C(CN1)NC2=CC=CC(=N2)C3=CN=C4N3C=C(C=C4)Cl
1123,15057856,C[N+]1([C@@H]2CC(C[C@@H]1[C@H]3[C@@H]2O3)OC(=O)C(C4=CC=CS4)(C5=CC=CS5)O)C
1124,354624,C1=NC2=C(N=C(N=C2N1C3C(C(C(O3)CO)O)F)Cl)N
1125,71307851,CC1=CC=C(C=C1)N2C(=CC(=C2C)C3=NN=C4N3CCCCC4)C
1126,3474778,COC1=CC=C(C=C1)N2C=NC3=C2C=CC(=C3)C(=O)N4CCCCC4
1127,76321032,CC(=O)NC1=C(C=CC(=C1)NC2=NC3=C(C=NN3C(=C2)NC4CC4)C#N)N(C)CCN(C)C
1128,56946894,CC(=O)NC1=C(C=CC(=C1)NC2=NC3=C(C=NN3C(=C2)NC4CC4)C#N)N(C)CCN
1129,71621170,C1CN(CCN1)C2=CC(=O)N3C(=N2)SC(=N3)C4=CC(=NC=C4)NC(=O)CN
1130,44329754,CCCN1CCO[C@H]2[C@@H]1COC3=C2C=C(C=C3)O
1131,73265220,COC1=CC(=CN2C1=NC=C2C3=NC(=CC=C3)NC4CNC4)Cl
1132,3235,CC(=CC1=CC=CC=C1)C=C2C(=O)N(C(=S)S2)CC(=O)O
1133,24906275,C1=CC=C(C(=C1)C(=C(N)SC2=CC=C(C=C2)N)C#N)C(F)(F)F
1134,2844975,CCC1=CC=C(C=C1)C=C2C(=O)NC(=S)S2
1135,67089852,C1CN(CCN1)C(=O)C2=CC=C(C=C2)C=CC3=NNC4=CC=CC=C43
1136,72295940,C1COCCN1CC2=CC=C(C=C2)COC3=NC=CC(=N3)C(=C4NC5=CC=CC=C5S4)C#N
1137,73068460,CCOC(=O)N1CCN(CC1)[N+](=NOC2=CC(=C(C=C2[N+](=O)[O-])[N+](=O)[O-])ON=[N+](N3CCN(CC3)C(=O)OCC)[O-])[O-]
1138,73265370,CCCCC1=NC=C(N1)C(=C(CC2=CC=CS2)C(=O)O)CC3=CC=C(C=C3)C(=O)O
1139,73265342,CCOC(=O)C1=C(C2=C(N1C)C(=C(C=C2)Cl)Cl)C(=CN)C#N
1140,83218,CC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCO)C)C)C)C)C)C)C)C)C
1141,204100,C1=CC(=CC=C1CCCCN2C=CN=N2)OCC3=COC(=N3)C=CC4=CC=C(C=C4)C(F)(F)F
1142,73265334,C1=CC(=CC=C1N2C(=O)C(=CC3=CC=C(O3)C4=CC5=C(C=C4)C(=O)NC5=O)SC2=N)Br
1143,44483281,CC(C)C1=C(C(=NO1)C2=C(C=CC=C2Cl)Cl)COC3=CC(=C(C=C3)C=CC4=CC(=CC=C4)C(=O)O)Cl
1144,73265364,C1C(N=C(C=C1C=CN2C(CC3=CC(=C(C=C32)O)OC4C(C(C(C(O4)CO)O)O)O)C(=O)O)C(=O)O)C(=O)O
1145,73265214,CC1=C(C=C(C=C1)C(=O)NC2=CC(=CC(=C2)NC(=O)C=C)C(F)(F)F)NC(=O)C3=CC=NO3
1146,68234129,C1CC1C(=O)NC2=NNC3=C2C=CC(=C3)C4=CC(=CC=C4)C(=O)NC5CC5
1147,108031,CCCCN(CCCC)CC(C1=CC(=CC2=C1C3=C(C2=CC4=CC=C(C=C4)Cl)C=C(C=C3)Cl)Cl)O
1148,6746983,CC1=CCC[C@@]2([C@@H](O2)[C@@H]3[C@H](CC1)C(=C)C(=O)O3)C
1149,73265233,C[C@@H]1CC[C@H]2C[C@@H](C(=CC=CC=C[C@H](C[C@H](C(=O)[C@@H]([C@@H](C(=C[C@H](C(=O)C[C@H](OC(=O)[C@H]3CCCCN3C(=O)C(=O)[C@@]1(O2)O)[C@H](C)C[C@@H]4CC[C@@H]([C@@H](C4)OC)OCCO)C)C)O)OC)C)C)C)OC
1150,3246906,CCCCC[C@@H](C=C[C@H]1[C@@H](CC(=O)[C@H]1CCCCCCC(=O)O)O)O
1151,135903606,CC1=C([C@@](SC1=O)(C)C=C(C)C=C)O
1152,5483090,CCOC(=O)C=C[C@H](C[C@@H]1CCNC1=O)NC(=O)[C@H](CC2=CC=C(C=C2)F)CC(=O)[C@H](C(C)C)NC(=O)C3=NOC(=C3)C
1153,73265274,CC1=CC(=CC(=C1)OCC2=CC=C(C=C2)CN3CCC[C@H]3CO)CS(=O)(=O)C4=CC=CC=C4
1154,73265409,CC1=N[C@@]2([C@@H](O1)C[C@@H]3[C@@]2(C[C@@H]([C@@H]4[C@H]3CCC5=CC(=O)C=C[C@]45C)O)C)C(=O)COC(=O)C
1155,73265226,CC1=C(SC(=N1)NC(=O)N2CCC[C@@H]2C(=O)N)C3=CSC(=N3)C(C)(C)C
1156,59428238,CCC[C@H](C(=O)C(=O)NC1CC1)NC(=O)[C@@H]2[C@H]3CCC[C@@H]3CN2C(=O)[C@H](C(C)(C)C)NC(=O)[C@H](C4CCCCC4)NC(=O)C5=NC=CN=C5
1157,12358477,C[C@@H]([C@H]1CC[C@@]2([C@@]1(CC[C@@H]3C2=CC(=O)[C@H]4[C@@]3(C[C@@H]([C@@H](C4)O)O)C)C)O)[C@@H](CCC(C)(C)O)O
1158,46930984,C[C@@H]1[C@@H]2[C@H](C(=O)N2C(=C1SC3CN4N=CC=[N+]4C3)C(=O)[O-])C(C)O
1159,73265407,C[C@]12CC[C@@H]3[C@H]([C@@H]1CC[C@]2(C)O)CC[C@@H]4[C@@]3(CC5=C(C4)NN=C5)C
1160,73265252,CCCC[C@@H]1C[C@H](N(C1)C)C(=O)NC([C@@H]2[C@H]([C@@H]([C@H]([C@H](O2)S)O)O)O)[C@H](C)Cl
1161,73259,CC=CC[C@@H](C)C(=O)[C@H]1C(=O)N[C@H](C(=O)N(CC(=O)N([C@H](C(=O)N[C@H](C(=O)N([C@H](C(=O)N[C@H](C(=O)N[C@@H](C(=O)N([C@H](C(=O)N([C@H](C(=O)N([C@H](C(=O)N1C)C(C)C)C)CC(C)C)C)CC(C)C)C)C)C)CC(C)C)C)C(C)C)CC(C)C)C)C)C(C)C
1162,50989217,C[C@@H]1OC[C@@H]2[C@H](O1)[C@@H]([C@@H]([C@@H](O2)O[C@H]3[C@H]4COC(=O)[C@@H]4[C@@H](C5=CC6=C(C=C35)OCO6)C7=CC(=C(C(=C7)OC)O)OC)O)O
1163,11872781,C[C@]12CC[C@H]3[C@@H]([C@@H]1CC[C@]2(C#C)O)CCC4=C3C=CC(=C4)OC
1164,73265344,C[C@]12CC[C@H]3[C@H]([C@H]1CCC2=O)CC(=C)C4=CC(=O)C=C[C@]34C
1165,6335004,CC=CCC=CCCC(=O)[C@@H]1[C@H](O1)C(=O)N
1166,42552731,C[C@H](CCC(=O)O)[C@H]1CC[C@@H]2[C@@]1(CC[C@@H]3[C@H]2[C@@H](C[C@H]4[C@@]3(CC[C@H](C4)O)C)O)C
1167,73265326,CC1=C(C=C(C=C1)[C@H]2[C@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)CC3=CC=C(S3)C4=CC=C(C=C4)F
1168,656574,CON=C(C1=CSC(=N1)N)C(=O)N[C@H]2[C@@H]3N(C2=O)C(=C(CS3)CN4C=CC(=N)N4CCO)C(=O)O
1169,73265324,CC[C@@H]1C=C(C[C@@H](C[C@@H]([C@@H]2[C@@H](C[C@H]([C@@](O2)(C(=O)C(=O)N3CCCC[C@@H]3C(=O)O[C@@H]([C@@H]([C@H](CC1=O)O)C)C(=C[C@@H]4CC[C@@H]([C@@H](C4)OC)Cl)C)O)C)OC)OC)C)C
1170,73265347,C[C@]12CC[C@H]3[C@H]([C@H]1CC[C@]2(C#C)O)CCC4=C3C=CC(=C4)O
1171,73265197,CC[C@@H]1[C@@]2([C@@H]([C@H](C(=O)[C@@H](C[C@@]([C@@H]([C@H](C(=O)[C@H](C(=O)O1)C)C)O[C@@H]3[C@H]([C@H](C[C@H](O3)C)N(C)C)O)(C)OC)C)C)N(C(=O)O2)CCCCN4C=C(N=C4)C5=CN=CC=C5)C
1172,15068211,C1=CC(=CC=C1C2=COC3=C(C2=O)C=CC(=C3O[C@H]4[C@@H]([C@H]([C@H]([C@H](O4)CO)O)O)O)O)O
1173,73265304,C1CCN(CC1)[C@@H]2[C@H](C[C@@H]([C@@H]2CCC=CCCC(=O)O)OCC3=CC=C(C=C3)C4=CC=CC=C4)O
1174,73265413,CC(=O)OCC(=O)[C@@]12[C@H](C[C@@H]3[C@@]1(C[C@@H]([C@]4([C@H]3C[C@@H](C5=CC(=O)C=C[C@@]54C)F)F)O)C)OC(O2)(C)C
1175,7067829,CC[C@H](CC[C@@H](C)[C@H]1CC[C@@H]2[C@@]1(CC[C@@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C)C(C)C
1176,59652905,CN1C(=O)C[C@@H](NC1=O)C(=O)N[C@@H](CC2=CN=CN2)C(=O)N3CCC[C@@H]3C(=O)N
1177,73265230,C[C@@H]1CC[C@@H]2[C@H]1[C@H]([C@@]3(C[C@H]([C@]2(O3)C)OC(=O)CO)C(C)C)OC(=O)C=CC4=CC=CC=C4
1178,70701134,C[C@@H](C1=CC=CC=C1)NC(=O)C(=CC2=NC(=CC=C2)Br)C#N
1179,73265352,C[C@@]12[C@@H](C(C[C@@H](O1)N3C4=CC=CC=C4C5=C6C(=C7C8=CC=CC=C8N2C7=C53)C(=O)NC6=O)N(C)C(=O)C9=CC=CC=C9)OC
1180,67310049,C1CC(=O)O[C@@H](CNC(=O)[C@@H](CC=C1)CC(=O)NCC2=CC=C(C=C2)Cl)C3=CC=CC=C3
